SR.No,City,State,2012 estimate,2010 Census,2010 land area,2010 population density,Location
115,Yonkers,New York,"1,98,449","1,95,976",18.012 sq mi,"10,880 per sq mi",40.9459N 73.8674W
,,,,,46.651 km2,"4,201 km-2",
116,Columbus,Georgia,"1,98,413","1,89,885",216.385 sq mi,878 per sq mi,32.5102N 84.8749W
,,,,,560.435 km2,339 km-2,
117,Augusta,Georgia,"1,97,872","1,95,844",302.474 sq mi,647 per sq mi,33.3655N 82.0734W
,,,,,783.404 km2,250 km-2,
118,Little Rock,Arkansas,"1,96,537","1,93,524",119.200 sq mi,"1,624 per sq mi",34.7254N 92.3586W
,,,,,308.726 km2,627 km-2,
119,Amarillo,Texas,"1,95,250","1,90,695",99.476 sq mi,"1,917 per sq mi",35.1978N 101.8287W
,,,,,257.641 km2,740 km-2,
120,Mobile,Alabama,"1,94,822","1,95,111",139.109 sq mi,"1,403 per sq mi",30.6684N 88.1002W
,,,,,360.290 km2,542 km-2,
121,Huntington Beach,California,"1,94,708","1,89,992",26.748 sq mi,"7,103 per sq mi",33.6906N 118.0093W
,,,,,69.278 km2,"2,742 km-2",
122,Glendale,California,"1,94,478","1,91,719",30.453 sq mi,"6,295 per sq mi",34.1814N 118.2458W
,,,,,78.874 km2,"2,431 km-2",
123,Grand Rapids,Michigan,"1,90,411","1,88,040",44.395 sq mi,"4,236 per sq mi",42.9612N 85.6556W
,,,,,114.984 km2,"1,635 km-2",
124,Salt Lake City,Utah,"1,89,314","1,86,440",111.110 sq mi,"1,678 per sq mi",40.7785N 111.9314W
,,,,,287.773 km2,648 km-2,
125,Tallahassee,Florida,"1,86,971","1,81,376",100.247 sq mi,"1,809 per sq mi",30.4551N 84.2534W
,,,,,259.638 km2,699 km-2,
126,Huntsville,Alabama,"1,83,739","1,80,105",209.054 sq mi,862 per sq mi,34.7843N 86.5390W
,,,,,541.447 km2,333 km-2,
127,Worcester,Massachusetts,"1,82,669","1,81,045",37.371 sq mi,"4,845 per sq mi",42.2695N 71.8078W
,,,,,96.790 km2,"1,870 km-2",
128,Knoxville,Tennessee,"1,82,200","1,78,874",98.521 sq mi,"1,816 per sq mi",35.9709N 83.9465W
,,,,,255.167 km2,701 km-2,
129,Grand Prairie,Texas,"1,81,824","1,75,396",72.105 sq mi,"2,433 per sq mi",32.6842N 97.0210W
,,,,,186.750 km2,939 km-2,
130,Newport News,Virginia,"1,80,726","1,80,719",68.714 sq mi,"2,630 per sq mi",37.0760N 76.5217W
,,,,,177.968 km2,"1,015 km-2",
131,Brownsville,Texas,"1,80,097","1,75,023",132.330 sq mi,"1,323 per sq mi",26.0183N 97.4538W
,,,,,342.734 km2,511 km-2,
132,Santa Clarita,California,"1,79,013","1,76,320",52.716 sq mi,"3,345 per sq mi",34.4049N 118.5047W
,,,,,136.535 km2,"1,291 km-2",
133,Overland Park,Kansas,"1,78,919","1,73,372",74.841 sq mi,"2,317 per sq mi",38.8890N 94.6906W
,,,,,193.839 km2,894 km-2,
134,Providence,Rhode Island,"1,78,432","1,78,042",18.400 sq mi,"9,676 per sq mi",41.8231N 71.4188W
,,,,,47.656 km2,"3,736 km-2",
135,Jackson,Mississippi,"1,75,437","1,73,514",111.046 sq mi,"1,563 per sq mi",32.3158N 90.2128W
,,,,,287.608 km2,603 km-2,
136,Garden Grove,California,"1,74,389","1,70,883",17.941 sq mi,"9,525 per sq mi",33.7788N 117.9605W
,,,,,46.467 km2,"3,677 km-2",
137,Oceanside,California,"1,71,293","1,67,086",41.235 sq mi,"4,052 per sq mi",33.2246N 117.3062W
,,,,,106.798 km2,"1,565 km-2",
138,Chattanooga,Tennessee,"1,71,279","1,67,674",137.152 sq mi,"1,223 per sq mi",35.0665N 85.2471W
,,,,,355.222 km2,472 km-2,
139,Fort Lauderdale,Florida,"1,70,747","1,65,521",34.765 sq mi,"4,761 per sq mi",26.1413N 80.1439W
,,,,,90.042 km2,"1,838 km-2",
140,Rancho Cucamonga,California,"1,70,746","1,65,269",39.851 sq mi,"4,147 per sq mi",34.1233N 117.5642W
,,,,,103.212 km2,"1,601 km-2",
141,Santa Rosa,California,"1,70,685","1,67,815",41.294 sq mi,"4,064 per sq mi",38.4468N 122.7061W
,,,,,106.950 km2,"1,569 km-2",
142,Port St. Lucie,Florida,"1,68,716","1,64,603",113.953 sq mi,"1,444 per sq mi",27.2810N 80.3838W
,,,,,295.136 km2,558 km-2,
143,Ontario,California,"1,67,211","1,63,924",49.941 sq mi,"3,282 per sq mi",34.0395N 117.6088W
,,,,,129.345 km2,"1,267 km-2",
